region,sector,EXIOBASE_industry_code,Deforestation_area_ha,Deforestation_emissions_incl_peat_MtCO2,Deforestation_emissions_excl_peat_MtCO2
BE,Processed rice,i15.g,0,0,0
BE,Sugar refining,i15.h,0,0,0
BE,Processing of Food products nec,i15.i,0,0,0
BE,Manufacture of beverages,i15.j,0,0,0
BE,Manufacture of fish products,i15.k,0,0,0
BE,Manufacture of tobacco products (16),i16,0,0,0
BE,Manufacture of textiles (17),i17,0,0,0
BE,Manufacture of wearing apparel; dressing and dyeing of fur (18),i18,0,0,0
BE,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",i19,0,0,0
BE,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",i20,0,0,0
BE,Re-processing of secondary wood material into new wood material,i20.w,0,0,0
BE,Pulp,i21.1,0,0,0
BE,Re-processing of secondary paper into new pulp,i21.w.1,0,0,0
BE,Paper,i21.2,0,0,0
BE,"Publishing, printing and reproduction of recorded media (22)",i22,0,0,0
BE,Manufacture of coke oven products,i23.1,0,0,0
BE,Petroleum Refinery,i23.2,0,0,0
BE,Processing of nuclear fuel,i23.3,0,0,0
BE,"Plastics, basic",i24.a,0,0,0
BE,Re-processing of secondary plastic into new plastic,i24.a.w,0,0,0
BE,N-fertiliser,i24.b,0,0,0
BE,P- and other fertiliser,i24.c,0,0,0
BE,Chemicals nec,i24.d,0,0,0
BE,Manufacture of rubber and plastic products (25),i25,0,0,0
BE,Manufacture of glass and glass products,i26.a,0,0,0
BE,Re-processing of secondary glass into new glass,i26.a.w,0,0,0
BE,Manufacture of ceramic goods,i26.b,0,0,0
BE,"Manufacture of bricks, tiles and construction products, in baked clay",i26.c,0,0,0
BE,"Manufacture of cement, lime and plaster",i26.d,0,0,0
BE,Re-processing of ash into clinker,i26.d.w,0,0,0
BE,Manufacture of other non-metallic mineral products n.e.c.,i26.e,0,0,0
BE,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,i27.a,0,0,0
BE,Re-processing of secondary steel into new steel,i27.a.w,0,0,0
BE,Precious metals production,i27.41,0,0,0
BE,Re-processing of secondary preciuos metals into new preciuos metals,i27.41.w,0,0,0
BE,Aluminium production,i27.42,0,0,0
BE,Re-processing of secondary aluminium into new aluminium,i27.42.w,0,0,0
BE,"Lead, zinc and tin production",i27.43,0,0,0
BE,"Re-processing of secondary lead into new lead, zinc and tin",i27.43.w,0,0,0
BE,Copper production,i27.44,0,0,0
BE,Re-processing of secondary copper into new copper,i27.44.w,0,0,0
BE,Other non-ferrous metal production,i27.45,0,0,0
BE,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,i27.45.w,0,0,0
BE,Casting of metals,i27.5,0,0,0
BE,"Manufacture of fabricated metal products, except machinery and equipment (28)",i28,0,0,0
BE,Manufacture of machinery and equipment n.e.c. (29),i29,0,0,0
BE,Manufacture of office machinery and computers (30),i30,0,0,0
BE,Manufacture of electrical machinery and apparatus n.e.c. (31),i31,0,0,0
BE,"Manufacture of radio, television and communication equipment and apparatus (32)",i32,0,0,0
BE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",i33,0,0,0
BE,"Manufacture of motor vehicles, trailers and semi-trailers (34)",i34,0,0,0
BE,Manufacture of other transport equipment (35),i35,0,0,0
BE,Manufacture of furniture; manufacturing n.e.c. (36),i36,0,0,0
BE,Recycling of waste and scrap,i37,0,0,0
BE,Recycling of bottles by direct reuse,i37.w.1,0,0,0
BE,Production of electricity by coal,i40.11.a,0,0,0
BE,Production of electricity by gas,i40.11.b,0,0,0
BE,Production of electricity by nuclear,i40.11.c,0,0,0
BE,Production of electricity by hydro,i40.11.d,0,0,0
BE,Production of electricity by wind,i40.11.e,0,0,0
BE,Production of electricity by petroleum and other oil derivatives,i40.11.f,0,0,0
BE,Production of electricity by biomass and waste,i40.11.g,0,0,0
BE,Production of electricity by solar photovoltaic,i40.11.h,0,0,0
BE,Production of electricity by solar thermal,i40.11.i,0,0,0
BE,"Production of electricity by tide, wave, ocean",i40.11.j,0,0,0
BE,Production of electricity by Geothermal,i40.11.k,0,0,0
BE,Production of electricity nec,i40.11.l,0,0,0
BE,Transmission of electricity,i40.12,0,0,0
BE,Distribution and trade of electricity,i40.13,0,0,0
BE,Manufacture of gas; distribution of gaseous fuels through mains,i40.2,0,0,0
BE,Steam and hot water supply,i40.3,0,0,0
BE,"Collection, purification and distribution of water (41)",i41,0,0,0
BE,Construction (45),i45,0,0,0
BE,Re-processing of secondary construction material into aggregates,i45.w,0,0,0
BE,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",i50.a,0,0,0
BE,Retail sale of automotive fuel,i50.b,0,0,0
BE,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",i51,0,0,0
BE,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",i52,0,0,0
BE,Hotels and restaurants (55),i55,0,0,0
BE,Transport via railways,i60.1,0,0,0
BE,Other land transport,i60.2,0,0,0
BE,Transport via pipelines,i60.3,0,0,0
BE,Sea and coastal water transport,i61.1,0,0,0
BE,Inland water transport,i61.2,0,0,0
BE,Air transport (62),i62,0,0,0
BE,Supporting and auxiliary transport activities; activities of travel agencies (63),i63,0,0,0
BE,Post and telecommunications (64),i64,0,0,0
BE,"Financial intermediation, except insurance and pension funding (65)",i65,0,0,0
BE,"Insurance and pension funding, except compulsory social security (66)",i66,0,0,0
BE,Activities auxiliary to financial intermediation (67),i67,0,0,0
BE,Real estate activities (70),i70,0,0,0
BE,Renting of machinery and equipment without operator and of personal and household goods (71),i71,0,0,0
BE,Computer and related activities (72),i72,0,0,0
BE,Research and development (73),i73,0,0,0
BE,Other business activities (74),i74,0,0,0
BE,Public administration and defence; compulsory social security (75),i75,0,0,0
BE,Education (80),i80,0,0,0
BE,Health and social work (85),i85,0,0,0
BE,Incineration of waste: Food,i90.1.a,0,0,0
BE,Incineration of waste: Paper,i90.1.b,0,0,0
BE,Incineration of waste: Plastic,i90.1.c,0,0,0
BE,Incineration of waste: Metals and Inert materials,i90.1.d,0,0,0
BE,Incineration of waste: Textiles,i90.1.e,0,0,0
BE,Incineration of waste: Wood,i90.1.f,0,0,0
BE,Incineration of waste: Oil/Hazardous waste,i90.1.g,0,0,0
BE,"Biogasification of food waste, incl. land application",i90.2.a,0,0,0
BE,"Biogasification of paper, incl. land application",i90.2.b,0,0,0
BE,"Biogasification of sewage slugde, incl. land application",i90.2.c,0,0,0
BE,"Composting of food waste, incl. land application",i90.3.a,0,0,0
BE,"Composting of paper and wood, incl. land application",i90.3.b,0,0,0
BE,"Waste water treatment, food",i90.4.a,0,0,0
BE,"Waste water treatment, other",i90.4.b,0,0,0
BE,Landfill of waste: Food,i90.5.a,0,0,0
BE,Landfill of waste: Paper,i90.5.b,0,0,0
BE,Landfill of waste: Plastic,i90.5.c,0,0,0
BE,Landfill of waste: Inert/metal/hazardous,i90.5.d,0,0,0
BE,Landfill of waste: Textiles,i90.5.e,0,0,0
BE,Landfill of waste: Wood,i90.5.f,0,0,0
BE,Activities of membership organisation n.e.c. (91),i91,0,0,0
BE,"Recreational, cultural and sporting activities (92)",i92,0,0,0
BE,Other service activities (93),i93,0,0,0
BE,Private households with employed persons (95),i95,0,0,0
BE,Extra-territorial organizations and bodies,i99,0,0,0
BG,Cultivation of paddy rice,i01.a,0,0,0
BG,Cultivation of wheat,i01.b,0,0,0
BG,Cultivation of cereal grains nec,i01.c,0,0,0
BG,"Cultivation of vegetables, fruit, nuts",i01.d,0,0,0
BG,Cultivation of oil seeds,i01.e,0,0,0
BG,"Cultivation of sugar cane, sugar beet",i01.f,0,0,0
BG,Cultivation of plant-based fibers,i01.g,0,0,0
BG,Cultivation of crops nec,i01.h,0,0,0
BG,Cattle farming,i01.i,0,0,0
BG,Pigs farming,i01.j,0,0,0
BG,Poultry farming,i01.k,0,0,0
BG,Meat animals nec,i01.l,0,0,0
BG,Animal products nec,i01.m,0,0,0
BG,Raw milk,i01.n,0,0,0
BG,"Wool, silk-worm cocoons",i01.o,0,0,0
BG,"Manure treatment (conventional), storage and land application",i01.w.1,0,0,0
BG,"Manure treatment (biogas), storage and land application",i01.w.2,0,0,0
BG,"Forestry, logging and related service activities (02)",i02,0,0,0
BG,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",i05,0,0,0
BG,Mining of coal and lignite; extraction of peat (10),i10,0,0,0
BG,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",i11.a,0,0,0
BG,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",i11.b,0,0,0
BG,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",i11.c,0,0,0
BG,Mining of uranium and thorium ores (12),i12,0,0,0
BG,Mining of iron ores,i13.1,0,0,0
BG,Mining of copper ores and concentrates,i13.20.11,0,0,0
BG,Mining of nickel ores and concentrates,i13.20.12,0,0,0
BG,Mining of aluminium ores and concentrates,i13.20.13,0,0,0
BG,Mining of precious metal ores and concentrates,i13.20.14,0,0,0
BG,"Mining of lead, zinc and tin ores and concentrates",i13.20.15,0,0,0
BG,Mining of other non-ferrous metal ores and concentrates,i13.20.16,0,0,0
BG,Quarrying of stone,i14.1,0,0,0
BG,Quarrying of sand and clay,i14.2,0,0,0
BG,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",i14.3,0,0,0
BG,Processing of meat cattle,i15.a,0,0,0
BG,Processing of meat pigs,i15.b,0,0,0
BG,Processing of meat poultry,i15.c,0,0,0
BG,Production of meat products nec,i15.d,0,0,0
BG,Processing vegetable oils and fats,i15.e,0,0,0
BG,Processing of dairy products,i15.f,0,0,0
BG,Processed rice,i15.g,0,0,0
BG,Sugar refining,i15.h,0,0,0
BG,Processing of Food products nec,i15.i,0,0,0
BG,Manufacture of beverages,i15.j,0,0,0
BG,Manufacture of fish products,i15.k,0,0,0
BG,Manufacture of tobacco products (16),i16,0,0,0
BG,Manufacture of textiles (17),i17,0,0,0
BG,Manufacture of wearing apparel; dressing and dyeing of fur (18),i18,0,0,0
BG,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",i19,0,0,0
BG,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",i20,0,0,0
BG,Re-processing of secondary wood material into new wood material,i20.w,0,0,0
BG,Pulp,i21.1,0,0,0
BG,Re-processing of secondary paper into new pulp,i21.w.1,0,0,0
BG,Paper,i21.2,0,0,0
BG,"Publishing, printing and reproduction of recorded media (22)",i22,0,0,0
BG,Manufacture of coke oven products,i23.1,0,0,0
BG,Petroleum Refinery,i23.2,0,0,0
BG,Processing of nuclear fuel,i23.3,0,0,0
BG,"Plastics, basic",i24.a,0,0,0
BG,Re-processing of secondary plastic into new plastic,i24.a.w,0,0,0
BG,N-fertiliser,i24.b,0,0,0
BG,P- and other fertiliser,i24.c,0,0,0
BG,Chemicals nec,i24.d,0,0,0
BG,Manufacture of rubber and plastic products (25),i25,0,0,0
BG,Manufacture of glass and glass products,i26.a,0,0,0
BG,Re-processing of secondary glass into new glass,i26.a.w,0,0,0
BG,Manufacture of ceramic goods,i26.b,0,0,0
BG,"Manufacture of bricks, tiles and construction products, in baked clay",i26.c,0,0,0
BG,"Manufacture of cement, lime and plaster",i26.d,0,0,0
BG,Re-processing of ash into clinker,i26.d.w,0,0,0
BG,Manufacture of other non-metallic mineral products n.e.c.,i26.e,0,0,0
BG,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,i27.a,0,0,0
BG,Re-processing of secondary steel into new steel,i27.a.w,0,0,0
BG,Precious metals production,i27.41,0,0,0
BG,Re-processing of secondary preciuos metals into new preciuos metals,i27.41.w,0,0,0
BG,Aluminium production,i27.42,0,0,0
BG,Re-processing of secondary aluminium into new aluminium,i27.42.w,0,0,0
BG,"Lead, zinc and tin production",i27.43,0,0,0
BG,"Re-processing of secondary lead into new lead, zinc and tin",i27.43.w,0,0,0
BG,Copper production,i27.44,0,0,0
BG,Re-processing of secondary copper into new copper,i27.44.w,0,0,0
BG,Other non-ferrous metal production,i27.45,0,0,0
BG,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,i27.45.w,0,0,0
BG,Casting of metals,i27.5,0,0,0
BG,"Manufacture of fabricated metal products, except machinery and equipment (28)",i28,0,0,0
BG,Manufacture of machinery and equipment n.e.c. (29),i29,0,0,0
BG,Manufacture of office machinery and computers (30),i30,0,0,0
BG,Manufacture of electrical machinery and apparatus n.e.c. (31),i31,0,0,0
BG,"Manufacture of radio, television and communication equipment and apparatus (32)",i32,0,0,0
BG,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",i33,0,0,0
BG,"Manufacture of motor vehicles, trailers and semi-trailers (34)",i34,0,0,0
BG,Manufacture of other transport equipment (35),i35,0,0,0
BG,Manufacture of furniture; manufacturing n.e.c. (36),i36,0,0,0
BG,Recycling of waste and scrap,i37,0,0,0
BG,Recycling of bottles by direct reuse,i37.w.1,0,0,0
BG,Production of electricity by coal,i40.11.a,0,0,0
BG,Production of electricity by gas,i40.11.b,0,0,0
BG,Production of electricity by nuclear,i40.11.c,0,0,0
BG,Production of electricity by hydro,i40.11.d,0,0,0
BG,Production of electricity by wind,i40.11.e,0,0,0
BG,Production of electricity by petroleum and other oil derivatives,i40.11.f,0,0,0
BG,Production of electricity by biomass and waste,i40.11.g,0,0,0
BG,Production of electricity by solar photovoltaic,i40.11.h,0,0,0
BG,Production of electricity by solar thermal,i40.11.i,0,0,0
BG,"Production of electricity by tide, wave, ocean",i40.11.j,0,0,0
BG,Production of electricity by Geothermal,i40.11.k,0,0,0
BG,Production of electricity nec,i40.11.l,0,0,0
BG,Transmission of electricity,i40.12,0,0,0
BG,Distribution and trade of electricity,i40.13,0,0,0
BG,Manufacture of gas; distribution of gaseous fuels through mains,i40.2,0,0,0
BG,Steam and hot water supply,i40.3,0,0,0
BG,"Collection, purification and distribution of water (41)",i41,0,0,0
BG,Construction (45),i45,0,0,0
BG,Re-processing of secondary construction material into aggregates,i45.w,0,0,0
BG,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",i50.a,0,0,0
BG,Retail sale of automotive fuel,i50.b,0,0,0
BG,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",i51,0,0,0
BG,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",i52,0,0,0
BG,Hotels and restaurants (55),i55,0,0,0
BG,Transport via railways,i60.1,0,0,0
BG,Other land transport,i60.2,0,0,0
BG,Transport via pipelines,i60.3,0,0,0
BG,Sea and coastal water transport,i61.1,0,0,0
BG,Inland water transport,i61.2,0,0,0
BG,Air transport (62),i62,0,0,0
BG,Supporting and auxiliary transport activities; activities of travel agencies (63),i63,0,0,0
BG,Post and telecommunications (64),i64,0,0,0
BG,"Financial intermediation, except insurance and pension funding (65)",i65,0,0,0
BG,"Insurance and pension funding, except compulsory social security (66)",i66,0,0,0
BG,Activities auxiliary to financial intermediation (67),i67,0,0,0
BG,Real estate activities (70),i70,0,0,0
BG,Renting of machinery and equipment without operator and of personal and household goods (71),i71,0,0,0
BG,Computer and related activities (72),i72,0,0,0
BG,Research and development (73),i73,0,0,0
BG,Other business activities (74),i74,0,0,0
BG,Public administration and defence; compulsory social security (75),i75,0,0,0
BG,Education (80),i80,0,0,0
BG,Health and social work (85),i85,0,0,0
BG,Incineration of waste: Food,i90.1.a,0,0,0
BG,Incineration of waste: Paper,i90.1.b,0,0,0
BG,Incineration of waste: Plastic,i90.1.c,0,0,0
BG,Incineration of waste: Metals and Inert materials,i90.1.d,0,0,0
